agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
table_driven,normal,7,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,7,caught,1200,193,26.055,9,2,129,10,141.4
model_based,normal,7,caught,610,106,14.31,24,0,54,2,-415.2
goal_based,normal,7,caught,500,70,9.45,31,0,28,7,-528.0
utility_based,normal,7,win,1090,91,12.285,0,1,18,9,3053.8
learning,normal,7,caught,320,50,6.75,45,0,19,6,-702.0
greedy,normal,7,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,7,caught,620,81,10.935,55,2,63,32,-460.2
table_driven,normal,8,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,8,caught,290,45,6.075,48,0,20,2,-723.0
model_based,normal,8,caught,600,110,14.85,25,0,59,6,-434.0
goal_based,normal,8,caught,880,159,21.465,1,0,87,15,-181.8
utility_based,normal,8,win,890,95,12.825,0,0,22,7,2857.0
learning,normal,8,caught,480,79,10.665,33,0,36,9,-553.8
greedy,normal,8,caught,870,89,12.015,2,0,18,8,-163.8
random,normal,8,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,9,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,9,caught,690,69,9.315,32,1,28,4,-331.8
model_based,normal,9,caught,610,104,14.04,24,0,52,2,-414.8
goal_based,normal,9,caught,500,65,8.775,31,0,23,10,-533.0
utility_based,normal,9,win,1290,91,12.285,0,2,18,9,3253.8
learning,normal,9,caught,940,89,12.015,27,2,40,10,-97.8
greedy,normal,9,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,9,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,normal,10,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,10,caught,1000,141,19.035,9,1,77,10,-48.2
model_based,normal,10,caught,560,68,9.18,29,0,24,1,-455.6
goal_based,normal,10,caught,670,130,17.55,18,0,75,15,-386.0
utility_based,normal,10,win,890,91,12.285,0,0,18,9,2853.8
learning,normal,10,caught,250,34,4.59,52,0,13,7,-770.8
greedy,normal,10,caught,1270,89,12.015,2,2,18,8,236.2
random,normal,10,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,11,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,11,caught,1000,139,18.765,9,1,75,12,-51.8
model_based,normal,11,caught,610,106,14.31,24,0,54,2,-415.2
goal_based,normal,11,caught,480,62,8.37,33,0,22,10,-552.4
utility_based,normal,11,win,1290,105,14.175,0,2,29,5,3259.0
learning,normal,11,win,1290,151,20.385,0,2,75,10,3239.8
greedy,normal,11,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,11,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,12,caught,140,23,3.105,59,0,9,2,-868.6
simple_reflex,normal,12,caught,490,70,9.45,32,0,29,6,-536.0
model_based,normal,12,caught,560,76,10.26,29,0,32,0,-455.2
goal_based,normal,12,caught,140,21,2.835,59,0,7,5,-874.2
utility_based,normal,12,win,1490,91,12.285,0,3,18,9,3453.8
learning,normal,12,caught,840,70,9.45,21,1,18,1,-176.0
greedy,normal,12,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,12,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,normal,13,caught,140,24,3.24,59,0,10,2,-868.8
simple_reflex,normal,13,caught,140,25,3.375,59,0,11,2,-869.0
model_based,normal,13,caught,590,74,9.99,26,0,24,0,-424.8
goal_based,normal,13,caught,610,72,9.72,24,0,23,10,-424.4
utility_based,normal,13,win,1290,91,12.285,0,2,18,9,3253.8
learning,normal,13,caught,840,64,8.64,21,1,12,2,-176.8
greedy,normal,13,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,13,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,normal,14,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,14,caught,980,96,12.96,7,1,30,3,-45.2
model_based,normal,14,caught,1070,145,19.575,2,1,74,5,31.0
goal_based,normal,14,caught,620,89,12.015,19,0,35,8,-413.8
utility_based,normal,14,win,1090,105,14.175,0,1,29,5,3059.0
learning,normal,14,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,14,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,14,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,15,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,15,caught,980,209,28.215,11,1,147,12,-85.8
model_based,normal,15,caught,580,80,10.8,27,0,34,2,-440.0
goal_based,normal,15,caught,480,64,8.64,33,0,24,10,-552.8
utility_based,normal,15,win,890,91,12.285,0,0,18,7,2857.8
learning,normal,15,win,1490,151,20.385,0,3,75,12,3435.8
greedy,normal,15,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,15,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,normal,16,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,16,caught,1040,134,18.09,5,1,66,7,-0.8
model_based,normal,16,caught,560,66,8.91,29,0,22,1,-455.2
goal_based,normal,16,caught,880,136,18.36,1,0,64,13,-173.2
utility_based,normal,16,caught,600,62,8.37,21,0,10,5,-422.4
learning,normal,16,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,16,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,16,caught,620,81,10.935,55,2,63,32,-460.2
table_driven,normal,17,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,17,caught,700,108,14.58,19,0,54,6,-333.6
model_based,normal,17,caught,560,68,9.18,29,0,24,1,-455.6
goal_based,normal,17,caught,480,65,8.775,33,0,25,9,-551.0
utility_based,normal,17,caught,610,63,8.505,20,0,10,5,-412.6
learning,normal,17,win,890,175,23.625,0,0,99,13,2829.0
greedy,normal,17,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,17,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,18,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,18,caught,1470,145,19.575,2,3,74,9,423.0
model_based,normal,18,caught,610,104,14.04,24,0,52,2,-414.8
goal_based,normal,18,caught,880,156,21.06,1,0,84,16,-183.2
utility_based,normal,18,win,890,91,12.285,0,0,18,7,2857.8
learning,normal,18,caught,880,172,23.22,1,0,97,15,-184.4
greedy,normal,18,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,18,caught,150,30,4.05,58,0,15,10,-876.0
table_driven,normal,19,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,19,caught,1200,122,16.47,9,2,58,9,157.6
model_based,normal,19,caught,590,76,10.26,26,0,29,1,-427.2
goal_based,normal,19,caught,530,72,9.72,28,0,27,9,-502.4
utility_based,normal,19,caught,600,62,8.37,21,0,10,5,-422.4
learning,normal,19,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,19,win,1090,91,12.285,0,1,18,8,3055.8
random,normal,19,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,20,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,20,caught,700,100,13.5,19,0,46,7,-334.0
model_based,normal,20,caught,590,94,12.69,26,0,44,1,-430.8
goal_based,normal,20,caught,530,58,7.83,28,0,13,9,-499.6
utility_based,normal,20,win,1090,95,12.825,0,1,22,7,3057.0
learning,normal,20,win,1490,151,20.385,0,3,75,11,3437.8
greedy,normal,20,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,20,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,21,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,21,caught,490,83,11.205,32,0,42,6,-538.6
model_based,normal,21,caught,580,68,9.18,27,0,22,1,-435.6
goal_based,normal,21,caught,1270,138,18.63,18,3,83,20,202.4
utility_based,normal,21,win,1490,95,12.825,0,3,22,9,3453.0
learning,normal,21,caught,810,61,8.235,24,1,12,1,-204.2
greedy,normal,21,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,21,caught,150,30,4.05,58,0,15,10,-876.0
table_driven,normal,22,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,22,caught,1380,90,12.15,7,3,24,3,356.0
model_based,normal,22,caught,590,76,10.26,26,0,29,0,-425.2
goal_based,normal,22,caught,500,67,9.045,31,0,25,9,-531.4
utility_based,normal,22,win,1090,91,12.285,0,1,18,9,3053.8
learning,normal,22,caught,250,34,4.59,52,0,13,7,-770.8
greedy,normal,22,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,22,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,23,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,23,caught,1070,254,34.29,2,1,180,8,3.2
model_based,normal,23,caught,610,96,12.96,24,0,44,1,-411.2
goal_based,normal,23,caught,1080,173,23.355,1,1,101,20,5.4
utility_based,normal,23,win,890,91,12.285,0,0,18,8,2855.8
learning,normal,23,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,23,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,23,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,24,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,24,caught,1000,115,15.525,9,1,51,8,-39.0
model_based,normal,24,caught,560,66,8.91,29,0,22,1,-455.2
goal_based,normal,24,caught,860,133,17.955,3,0,63,11,-188.6
utility_based,normal,24,win,890,91,12.285,0,0,18,7,2857.8
learning,normal,24,caught,870,112,15.12,2,0,41,11,-174.4
greedy,normal,24,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,24,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,normal,25,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,25,caught,950,124,16.74,14,1,65,9,-92.8
model_based,normal,25,caught,560,59,7.965,29,0,15,0,-451.8
goal_based,normal,25,caught,480,60,8.1,33,0,20,8,-548.0
utility_based,normal,25,caught,750,98,13.23,6,0,28,6,-281.6
learning,normal,25,caught,250,48,6.48,52,0,24,9,-777.6
greedy,normal,25,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,25,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,26,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,26,caught,900,104,14.04,19,1,50,8,-136.8
model_based,normal,26,caught,560,69,9.315,29,0,25,1,-455.8
goal_based,normal,26,win,1490,125,16.875,0,3,52,16,3433.0
utility_based,normal,26,win,890,91,12.285,0,0,18,7,2857.8
learning,normal,26,win,890,133,17.955,0,0,60,8,2847.4
greedy,normal,26,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,26,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,27,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,27,caught,1400,131,17.685,9,3,67,9,355.8
model_based,normal,27,caught,560,66,8.91,29,0,22,1,-455.2
goal_based,normal,27,caught,500,56,7.56,31,0,14,7,-525.2
utility_based,normal,27,win,890,91,12.285,0,0,18,9,2853.8
learning,normal,27,caught,580,85,11.475,23,0,32,6,-449.0
greedy,normal,27,caught,1070,89,12.015,2,1,18,8,36.2
random,normal,27,caught,130,17,2.295,60,0,4,4,-881.4
table_driven,normal,28,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,28,caught,330,44,5.94,44,0,15,1,-680.8
model_based,normal,28,caught,560,63,8.505,29,0,17,1,-454.6
goal_based,normal,28,caught,880,116,15.66,1,0,44,11,-165.2
utility_based,normal,28,win,1290,91,12.285,0,2,18,9,3253.8
learning,normal,28,caught,250,34,4.59,52,0,13,7,-770.8
greedy,normal,28,win,1290,91,12.285,0,2,18,8,3255.8
random,normal,28,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,normal,29,caught,140,23,3.105,59,0,9,2,-868.6
simple_reflex,normal,29,caught,1360,90,12.15,9,3,26,3,336.0
model_based,normal,29,caught,580,68,9.18,27,0,22,2,-437.6
goal_based,normal,29,win,890,121,16.335,0,0,48,6,2853.8
utility_based,normal,29,win,890,107,14.445,0,0,31,5,2858.6
learning,normal,29,caught,400,40,5.4,41,0,8,5,-618.0
greedy,normal,29,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,29,caught,610,58,7.83,56,2,41,25,-451.6
table_driven,normal,30,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,30,caught,1000,139,18.765,9,1,75,10,-47.8
model_based,normal,30,caught,580,80,10.8,27,0,34,2,-440.0
goal_based,normal,30,caught,670,123,16.605,18,0,68,11,-376.6
utility_based,normal,30,win,1090,91,12.285,0,1,18,9,3053.8
learning,normal,30,caught,250,34,4.59,52,0,13,7,-770.8
greedy,normal,30,caught,1270,89,12.015,2,2,18,8,236.2
random,normal,30,caught,150,29,3.915,58,0,14,10,-875.8
table_driven,hard,1,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,1,caught,140,14,1.98,59,0,0,0,-862.8
model_based,hard,1,caught,560,59,8.03,29,0,15,0,-451.8
goal_based,hard,1,caught,500,61,8.36,31,0,19,5,-522.2
utility_based,hard,1,caught,530,52,7.15,28,0,7,4,-488.4
learning,hard,1,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,1,caught,140,14,1.98,59,0,0,0,-862.8
random,hard,1,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,2,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,2,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,2,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,2,caught,1070,110,14.96,2,1,39,10,28.0
utility_based,hard,2,caught,650,74,10.12,20,0,21,4,-372.8
learning,hard,2,caught,700,52,7.15,35,1,12,4,-318.4
greedy,hard,2,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,2,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,3,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,3,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,3,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,3,win,1090,101,13.635,0,1,28,9,3051.8
utility_based,hard,3,win,890,105,14.175,0,0,32,8,2853.0
learning,hard,3,caught,440,54,7.37,53,1,34,16,-602.8
greedy,hard,3,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,3,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,4,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,4,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,4,caught,560,57,7.81,29,0,13,0,-451.4
goal_based,hard,4,caught,520,57,7.81,29,0,13,6,-503.4
utility_based,hard,4,caught,870,101,13.75,2,0,30,10,-170.2
learning,hard,4,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,4,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,4,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,5,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,5,caught,660,88,11.99,35,1,50,4,-365.6
model_based,hard,5,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,5,caught,490,57,7.81,32,0,16,5,-531.4
utility_based,hard,5,caught,620,79,10.78,19,0,25,4,-403.8
learning,hard,5,caught,840,66,9.02,25,1,18,1,-175.2
greedy,hard,5,win,1290,91,12.285,0,2,18,8,3255.8
random,hard,5,caught,130,17,2.295,60,0,4,4,-881.4
table_driven,hard,6,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,6,caught,130,13,1.87,60,0,0,0,-872.6
model_based,hard,6,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,6,caught,490,52,7.04,32,0,11,6,-532.4
utility_based,hard,6,caught,130,13,1.87,60,0,0,0,-872.6
learning,hard,6,caught,820,57,7.81,27,1,11,1,-193.4
greedy,hard,6,caught,130,13,1.87,60,0,0,0,-872.6
random,hard,6,caught,130,17,2.295,60,0,4,4,-881.4
table_driven,hard,7,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,7,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,7,caught,560,56,7.59,29,0,12,0,-451.2
goal_based,hard,7,win,1090,101,13.635,0,1,28,9,3051.8
utility_based,hard,7,caught,870,103,13.905,2,0,32,9,-168.6
learning,hard,7,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,7,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,7,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,8,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,8,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,8,caught,760,59,8.03,29,1,15,0,-251.8
goal_based,hard,8,caught,1270,105,14.3,2,2,34,12,225.0
utility_based,hard,8,caught,90,12,1.65,64,0,3,0,-912.4
learning,hard,8,caught,1040,66,9.02,25,2,18,1,24.8
greedy,hard,8,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,8,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,9,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,9,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,9,caught,680,52,7.15,33,1,12,0,-330.4
goal_based,hard,9,caught,480,57,7.7,33,0,17,5,-541.4
utility_based,hard,9,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,9,caught,700,57,7.81,35,1,17,2,-315.4
greedy,hard,9,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,9,caught,130,21,2.86,60,0,8,6,-886.2
table_driven,hard,10,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,10,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,10,caught,560,56,7.59,29,0,12,0,-451.2
goal_based,hard,10,caught,470,57,7.81,34,0,18,7,-555.4
utility_based,hard,10,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,10,caught,700,52,7.04,35,1,12,4,-318.4
greedy,hard,10,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,10,caught,140,26,3.51,59,0,12,8,-881.2
table_driven,hard,11,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,11,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,11,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,11,win,1090,101,13.635,0,1,28,9,3051.8
utility_based,hard,11,caught,870,105,14.3,2,0,34,9,-169.0
learning,hard,11,caught,480,43,5.83,49,1,16,4,-536.6
